fecha,municipio,titulo,url,medio,empresa,rubro,despedidos,cerro_empresa
04/03/2026,MORON,"San Roque, en Morón . Cerró un frigorífico en el conurbano y hay 140 despidos - La Voz de Tandil",https://news.google.com/rss/articles/CBMioAFBVV95cUxQLTR2VGV2RTIybDZmZ2FGOUdwaU54TVBzZFlsQldXNk9vT1NTU2RKeEswbmtyTmkxSTlqMW5YdnQ4eFhXZS1DaERCVFplNWc5Z1d3bmh4SGdXUTRsZEJwYXRFUm9CWGtwYkN0bVMxc3ZOUk5id2Nybzljd21zdkZmLXBHNjZWUGZHUGVoTXRiSXl5YVo0R3dEVEhYV3J4ZHF0?oc=5,Google News,,,,
18/02/2026,SAN FERNANDO,Argentina. El industricidio avanza: Fate baja la persiana en San Fernando y deja a 920 familias en la calle - Resumen Latinoamericano -,https://news.google.com/rss/articles/CBMi7AFBVV95cUxQZUhtQ3lTcV9FTFN0SHhRUEUtZVdIV1dlWTFIVzlQZ3JvalJjT0VvU2FKNGlHSTQ0U2M2cGlLWENHejQ4TWZRMFRublptakZUck1uWHpGWE9ldTZXWkRQSE1DLWR6NFNxckM0M0lkc2ZpOWhVYTAzNktuSko4WnMyOEw0T3NtLXlUVHFwcm5jTkcweWVOMHBYZm1FeEtEdnFKOU5rbnRWVlI1czVmam5GdjAwSVlocDZweXVRbWNNTUxfYm5yRXgyaTBsVFRpaE94cC10RGRwNFdla21JZWxWNDNHakRITy1OS3lleA?oc=5,Google News,,,,
11/02/2026,LANUS,Lanús: tensión y cortes tras el despido de 80 trabajadores municipales de limpieza - La Noticia 1,https://news.google.com/rss/articles/CBMitwFBVV95cUxNd3JEWmlGcWZXMFMzR1p2VGcyeVd3QlBsQm85R19VWU5oSkpqbENvSW9BMVhTeVltbVQyYW5ZTDZ5SnBaMVhFaG83TFUyWU82Tkh0OXpnN3p3MGJTUzdtYkd5Z3kwSFloTTh1X0xYQkNjTXk0WnJWOVlKY3VxRDBmMU5YR0lsV3dQMlZQM1ZNQm5pbE9maU1EaV9VbFpubGk2WHdkTnJraTRSVEc2NldOd3ZwTzV0NEU?oc=5,Google News,,,,
23/01/2026,MONTE GRANDE,El olor feo de Cresta Roja: El fantasma del cierre total acecha a la planta de Monte Grande - Data Conurbano / NET,https://news.google.com/rss/articles/CBMixAFBVV95cUxQbk5zSk1zQ3J2X0ZoRWRUQ2wxTVhoQUFYMlF2MjI4NnJPNUpSYVZISllvbExGYWxCLXdCYjlONHlyMDVPZklPdHdoYnNXQk5pQm9mOXNWREFSQ2ttY1FJaGJGSWJZVWpmVzFoVzV4WTByVjdzSzNHNTJiY0pDZnBKcVZRR21CSy1fLXRHcWlzMk50MzNHbHY2VlNSOEFJM3NJUUc5bm9TbGtRSHB3ZXdsX3AzUmdESjVDVm84Yjc4YVFqRUYy?oc=5,Google News,,,,
06/01/2026,PILAR,Pilar: cierra la fábrica Gepsa y deja 80 familias en la calle - Prensa Obrera,https://news.google.com/rss/articles/CBMinAFBVV95cUxQNDMxamlya3FUWnRpdWhCZ1htSU93TkhkTEVobnFQZkNUSk9WR3FhXzJYVTB1T1UxbHVwNFVNaGJNRkh2N2djT0FTbWI2bFNyQ3hVQmE1VXY2RE1COUR5Nm13aFBQMVJGNU5kdXJ1c1MxdGQyQ2V6UHlSeE8teWtTX0R2emt4NXNrZXZ0MzhBZ05yUWlxS09UTUhsclE?oc=5,Google News,,,,
12/12/2025,LANUS,"Posible cierre de Tenaris Siat en Lanús: ""Estamos dispuestos a dar la lucha que sea necesaria"" - argentina.indymedia.org",https://news.google.com/rss/articles/CBMi0AFBVV95cUxQTnQ2akRzR1BVLXZhNFU2a3V0Z2g5Rk44WU04cm9vR2FNS1FWZkJ2eGNEV2N4STZwZjMzVnNXUVRrVDVYUHVremFxUVpRSTAtN19NcC1pSWdtVS1pYkxydjZ6dUp2bDVNUGE4VHdDWjNyRG1Ib1ZEN0I1emNZU2p0dmV0Y195eW5kZmZXQldCSUx2LVhoV2Q4TTRNUUhuLTZkcHNkRnd2d0pmU1JHeEhBd1h5Qm5uVm9LTGdNdFZzNVpIY3hEQ2RLUExXQ3dwTmty?oc=5,Google News,,,,
02/12/2025,ITUZAINGO,"Superó todas las crisis, pero no a Milei: fábrica de ascensores con más de medio siglo en Ituzaingó está al borde del cierre - Data Gremial",https://news.google.com/rss/articles/CBMikAJBVV95cUxNRjBXaG54RWg2bWVucnJZeElhYWNtT1NvUkpQNTlMWnM4SlZ5eHRldjNPUGY1Q3JxYnh6NGM1dDVZLTE5LWdFeGYwSElhYWZVQ25Fa0ZZbzBNT3BjSW94UmNpUjA0YU5STl85ZDRaQkxxQWw5UW1VMG9vX0lyTlFIbVRkVzVuLXVPSUpyNmc5dGZlbElyRHdkVE5za2Q1aUFLdFE1cE5aN3RrUlZ0emo3dUxXN295VEtZYnVFSmM5Q3lQTFAzRHZZbTgzLTVvaFBwRk9tUUk4SDVpMUY4UG1BLW5GWGhVNi1PZTRIZFdGUzJZYmNVRlU5TENETGtCQVdBRDc1clNXTEJZQ2g4cldtbQ?oc=5,Google News,,,,
01/12/2025,PILAR,Pilar golpeado por la ola de cierres industriales: 1500 despidos en este año 2025 - Diariolaprimera,https://news.google.com/rss/articles/CBMixAFBVV95cUxPUm81UnhQQ3dod0JzdzhZdldEYnNUcTJObkdrczBxRm1OdkhIb3k4ekJkYVhIOTBWd0p5andaemxDRmd2V043ZjlGZk1YbTJCZEF4MGpoeFgzUERoTHNDYmhNajFxRFpISEVJekozV3ZnLTkyUXZYcnVWUzZSaUp1aDNCNWVmaGJtUW1wcXk1TzdoQjZmNnFQSWRJdVJucC1XMnAtSnhBUEt5bUxhVTMwSTJZVlY4Tkl2aXVKRG1DbTZCU19S?oc=5,Google News,,,,
26/11/2025,PILAR,SIGUEN CERRANDO EMPRESAS/multinacional de electrodomésticos cerró su planta en Pilar y dejó a 300 trabajadores en la calle – Motor Economico - Motor Economico,https://news.google.com/rss/articles/CBMi6AFBVV95cUxQbDVjSFRJaGhnc0RDektKNTJRbDBCYXRMcm1FS3ZnZ2ZXQUd1NzlFbndYaXdDVDRDbFh0dVJPZGhSTHBfWS1NZll1akFHX1ZIWkY4MlJjVmdzV1EtYTNnb3JxYjI0Z3pOUHRQRlM3MDNuQUZNdnZQbklnNWhZWUhsUHZqZmRRM3QyOEFaTFFwMi1TYlFDZ0JoRVdhS3A5T29nUlRtaTY1dmxfUFdwc1hTTTFPellYS2xxVWxpQ1hDT3Y5ZUFOVGJvaDg4RTg2T01PUktjRm0wNE43ZUNDNlhUREtrbWNsNHdZ?oc=5,Google News,,,,
18/11/2025,TEMPERLEY,FRÁVEGA cerró su sucursal en Temperley: alertan por 300 DESPIDOS en medio de la crisis de Milei - El Destape,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPMkdMeDdPbmxJVEVwTXpZMVg5TTRSdFM4REc0V3hsUnRPRzJyNWUxUDNmdXZrMHJhanF5T1lSQVNaU3pMYzI5Wnl2MGdyN0tFT041eFNnMFNpQnN5TmM2VHh1ajl6WUUtZ3A2UFIyMGFiTVJNeFhOa0QtWHVYWC00aXpVZFBrMkF1eDNpLUVqQ3RNbllhY2p4eEg3aWpGclh2N0ZTWTViWE0xcjVNX0VMRFZSOV9QSFJjUF91N2xWR29oZjBQZFVmX3JDT2w4cGNTU3fSAdIBQVVfeXFMTzJHTHg3T25sSVRFcE16WTFYOU00UnRTOERHNFd4bFJ0T0cycjVlMVAzZnV2azByYWpxeU9ZUkFTWlN6TGMyOVp5djBncjdLRU9ONXhTZzBTaUJzeU5jNlR4dWo5ellFLWdwNlBSMjBhYk1STXhYTmtELVh1WFgtNGl6VWRQazJBdXgzaS1FakN0TW5ZYWNqeHhIN2lqRnJYdjdGU1k1YlhNMXI1TV9FTERWUjlfUEhSY1BfdTdsVkdvaGYwUGRVZl9yQ09sOHBjU1N3?oc=5,Google News,,,,
06/11/2025,QUILMES,"Sealed Air Quilmes: 89 despidos, paro total y tensa conciliación - diario5dias.com.ar",https://news.google.com/rss/articles/CBMiiwFBVV95cUxPOC1wZTVWWmNZcVd1MWdvOWp5ZFJPYmFDNHN3d0tNSHktRm8xN3lfdkRhcmJFZGtjZlYxN2h6aFFlWTY2ekhISndSWVhfd3FsTFlVZGN0THN3a2p1cGtZM3M2UU53dkR1RVpneEN2emE1VEJNbDdBNDN4bVFrUUM4SHMxOVNCQ1RIXzB3?oc=5,Google News,,,,
01/10/2025,PILAR,Derrumbe industrial en Pilar: Cerró otra fábrica y dejó en la calle a casi 200 operarios - Mundo Gremial,https://news.google.com/rss/articles/CBMiswFBVV95cUxNVVJmTldicmRmcVRsX3QzUDlpTHJyc082QlhaMWxPWTNjUkZYOUpfdG1wVzNDbTZWOWdrRF9peWFtZExXQUdGTWUyZEZ4T1k4aGFuMlBoVXZxVi10QmRyQUlJcUNxZ0RYVU0zdUh5RldMQzJyN2JobnU2cnFSUTIzbnRRMUlxNlJzZHRCSEIzb2JGN1N2UzlXVkkyZGJjTDVQUV91VmZpcHFvaGp0aGVZY21Zaw?oc=5,Google News,,,,
23/09/2025,PILAR,Pilar: paro por falta de pago y amenaza de cierre en Granja Tres Arroyos - argentina.indymedia.org,https://news.google.com/rss/articles/CBMitgFBVV95cUxQZU0xLVdOWUdON0JndjU5TEZ0SUdFME00bW85WXVNWXVpcnJkTXkxb2FySU1aajFoX0kwVGhwaEYwYVZUb1lVMUtYVTNYR20yMTQxU19idkVENVl5QlBObnlFVURWQm90U2EyaGxna0tOWmN0VjV5by12VmxUU3ZzRnVMaGpfcTBqeEVKa2ZlMWE2dkJRMmd4U2xNWGl2cEdmNEJmS2VtaHc1aUVIQXNhLV9uWTFwQQ?oc=5,Google News,,,,
17/09/2025,LUJAN,Despidos en fábrica de cerámica de Luján: 65 trabajadores en la calle - La Noticia 1,https://news.google.com/rss/articles/CBMipgFBVV95cUxNTTNkSnExOVFtV2lWcDVSa2x6b2N5YVJtSy1SN2NKeXh1SVFHNXhuMmtzWmhITU5URWtlTVBJNTdXZ1NUY1hlXzZPeVRfUmFoMGF0RGdTYi1GUTFQazdSRndLa2JKNWNXLUpZOVoxTWJVb3BOX0ZTLWU4RW5wQURGcVhsS1U3WEZiZEFETFNZRUtoYWl4OVdBS2NncC1vVmZLQ3FRVnh3?oc=5,Google News,,,,
12/09/2025,MERLO,DESPIDOS en una de las empresas más importantes del país: echó a la mitad de los trabajadores de una rama laboral de su fábrica en Merlo - El Destape,https://news.google.com/rss/articles/CBMi2AFBVV95cUxQa25VV215X00xODIyUnRkX01fVy1FUHlhejA3d1RWMThBTTNsZWlNOWNZQXZKYzhoaHlhb0NEMmJrd2lsN3lHYUlxQ0lFTU44ck1HVTExZ2stUVVCVWEwQ1dwSjhxenJSVFhXUm9zSmFNcDZiaWFoQTlHeEFsMXJrNzVjWmhKSVhBUDJ2dE1LU24zbWs2X3M1VWg4TnhrS093Z2tEeGFRdGVrSFZUSmV6Z0xZY0pFRWEyV1RhVnF2SWRvMG16cF82NUpxNG9CSFNtdHc2OEQtZGbSAdgBQVVfeXFMUGtuVVdteV9NMTgyMlJ0ZF9NX1ctRVB5YXowN3dUVjE4QU0zbGVpTTljWUF2SmM4aGh5YW9DRDJia3dpbDd5R2FJcUNJRU1OOHJNR1UxMWdrLVFVQlVhMENXcEo4cXpyUlRYV1Jvc0phTXA2YmlhaEE5R3hBbDFyazc1Y1poSklYQVAydnRNS1NuM21rNl9zNVVoOE54a0tPd2drRHhhUXRla0hWVEplemdMWWNKRUVhMldUYVZxdklkbzBtenBfNjVKcTRvQkhTbXR3NjhELWRm?oc=5,Google News,,,,
11/09/2025,CAMPANA,VIDEO | Cerró la planta de KTM en Campana y dejó 50 familias en la calle: la UOM apunta al gobierno de Milei - Agencia NOVA,https://news.google.com/rss/articles/CBMifkFVX3lxTE1PdXRaRkxLTUJ3a3pzYzVIcWNnSU50eHZFZ1AxMUZ3RXMzcF85Y1o0dnZ6WHNmZmJXTG9qUGRHU3VnM2tueXdqbWViYjZfYVZrcDFfRkFfblA4eGYwa2RUU1BXZ1N2RjNRUmd2OGpKeDZSMUxmUVU4cVpFOVRIQQ?oc=5,Google News,,,,
19/06/2025,ZARATE,Argentina. Despidos en Molinos y cierre de una química en Zárate - Resumen Latinoamericano -,https://news.google.com/rss/articles/CBMitAFBVV95cUxQMkJET2RQNjdkLTlsTWduYnNpOHlKNzBSX3lDQU5MNm9lWVZSUEp1akQzOEhkU3c2UFB5R2xGNk80RTd5ZHhwNVJONlpMVm5ZQ1YxYm9JOThRTHMtLW9kdUd2Vld4djZ5ampJUVRiNkxSMU85Nk91RU1rMlAxd3E3djBvRDJKa05SVkI1RUJ5d2lfU0FoV1pxTktpdFlYcW5GT1NhVGdlMmRKSlZmRC1KRUVLbEs?oc=5,Google News,,,,
07/06/2025,PILAR,Sorpresivo cierre de una fábrica del Parque deja a 220 trabajadores en la calle - Pilar a Diario,https://news.google.com/rss/articles/CBMiugFBVV95cUxNdXpSaTZnNEtreTVYTXFPVFNFRWMxcjNVaWRQOHh2cHRHVEdGeE85Y1FwNnI0V3FDNXh1RmIwQ1Z6QnZqcmhBazBUdlMtQklQbDgwNHVTLUt4ZnlIbkIwVlVRWkRVU0tVSnVlSFlhcjh1eEdhRExqSHhCWWVkNkNiMXFnS3RDckpXazRlVVczU19KWmk0cXBHSkVsbEdkN284QXp4U0ZuOFNMQnhTVHZfOFlLT190eTdHX3fSAb8BQVVfeXFMTjFpXzJEZDNfV3pWbGYxR3U5b1k2ZVEzX0h3TWRPS19kQnFFN3FzRUk0Sl9fVjV0SFlNSUtDSUIwNE0xd0htQ0pEZjl2NHpMQ0ZjVWlDcUdfNlE4TzJEMW1qTWx4VkFGb29jTzFUVFBDQ1ZQakJlMzh3ZXlUZjZMTHRId19QSm1MYUZ0UDkxTTlmV0pWMl9zcUp6ekVZclZHdS1wWlk4SkZZQjgybmo2Si01b01DMVRBVTQtQ3ZmNWM?oc=5,Google News,,,,
31/03/2025,ZARATE,Crisis en la industria automotriz: Toyota avanza con despidos masivos en su planta de Zárate - Zona Norte Hoy,https://news.google.com/rss/articles/CBMiVkFVX3lxTE81am9Hc1hPc0FrTU5pN3g0RFczdVRHVWM0ZUFoSFBfWTRsYVp4aGQtaF95VmlrajlMcHhrbmdyeHl3eG9wYzF1X2RXbDlqd3lWSlotOWhn0gFWQVVfeXFMTzVqb0dzWE9zQWtNTmk3eDREVzN1VEdVYzRlQWhIUF9ZNGxhWnhoZC1oX3lWaWtqOUxweGtuZ3J4eXd4b3BjMXVfZFdsOWp3eVZKWi05aGc?oc=5,Google News,,,,
26/02/2025,AVELLANEDA,Avellaneda: conflicto ante el cierre de la gráfica Morvillo - argentina.indymedia.org,https://news.google.com/rss/articles/CBMipAFBVV95cUxPM2hnNGk5b21SaXJzUFk1ajMwYTBtZmFHSTk2MW95ZlNVaWpwU2djTnloY183ZDBRNEw0T3JLdnNJeDlsaDRweUc3MlFNMmVrblJrcEFRZ1J5QzVmT1dnelV6Nm8xLXJoRndHTHRldEpFZ2o2R0pibEg4Z3dhemZPOVBTcWlBeEhCUG9IbnVYUXlMMnBVdUJjYnUxaE1NMkdFLTJMRQ?oc=5,Google News,,,,
15/01/2025,GENERAL RODRIGUEZ,Más de 130 despidos en el Hospital Nacional Sommer de General Rodríguez - La Izquierda Diario,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQNW1oZ3REVVZhUGpBTHpjaWtycUpJU25ncUs2eXkydUtzNjhoTjg0WWhkX2xrYm1ZSzRtUjd4dGF3eHRoOHpCY2h5dHp3ZEdQWS1EUDhUNUpyTWFaVDI3ME9BS2FBdjNGUi1OTUVRbDlmaHBLVkNSZXJkUFpwQlUwMzZmTW9JTnYwb2NEdFJRWVZIOGlSVHhzaC1rS294ZHExUGRRb3BrTC3SAbABQVVfeXFMTjF1UklRdjQ1OHZ6eVNEcVNha0xucGpTMHRKVURKRWViNmp0YTdaQkhoSndFWjJEYVNYcEYtazhIVmRNQmNnQkltOGlwU0c4eTdzRTJOMFU3azdBeWtfQ2x1T2pNNV9EYnlVbUhtRFEzYU1HZzBrZVpqVDNUVUpmcUpVaGU3MnlFaElSdzFxNDFhNUNpODRtTGx3dFBUU1hqeDc4bFA0Ry1sMnBwNHZzYWs?oc=5,Google News,,,,
09/12/2024,SAN FERNANDO,San Fernando: Natura cerró una planta de Avon y hay 300 despidos - argentina.indymedia.org,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPN1FiZjlxbTFzUjJudk5wVnU2YUpFNlZqazh1ZVhtRDNpczV3eTd4T1A4WFI1ZmtnM2FnSElRQUppbEpoRnRwZ0FVaS1YTGZKb0FlUlBPTHlpeU1vV3pkeGE2VXJaRmt6UVhwSzRRMzI5bDdEUi0td3pKMXc3WUNYYl83S2pxNTJnbmFuSnJpMERiYW5Ddjh2dkJoR2Jzc2N1MmxQUTlWMG5KR1E?oc=5,Google News,,,,
28/10/2024,PILAR,Jumbo Pilar: Federico Borda fue reinstalado luego de un despido discriminatorio - La Izquierda Diario,https://news.google.com/rss/articles/CBMisgFBVV95cUxNS1ZhM0loQXhOVHVDa1luNGFzSzJNRHkyTmpLX0FPeHI0OEQ3cTZMNzA3TDZYTzU2NmhVWkJwbFY5eVBTc2dFa3RJUlAycVRWb2lHbS1oQloyY21lMXRnVGc1eGFxU29nc2diOEVueVZQM0tFaWNLU0hjRzBHSkkwcVRsYnJ2a3lwSXExZHJoTExZeVBYS3ppUXlfeVo2UFFkQU9MSWFjRlZ4REVKLXk5YWFn0gG6AUFVX3lxTE0ycUdxaVBlNkRsbkNIX1FqWXpNWVJhU3ktYWQ0ZC1WTmVEdkY2TW5najBWMUhMNkM4am9BbDRmczlZTXFhY3ZidjhoM2xEdy1GQTc0cW5tUnRxRFJoQUZub1hfQ3EtWm9IYUcxTjl6c2F4QTlyT2NoMFljczBlQUdXSkpCQVhuVHA1S3MwNVdteC1TbGs5WFhVa2tTNW9ZN0Jib0pWSW14NFlCY2o4ekNPdDF3UDN5c3hOZw?oc=5,Google News,,,,
31/08/2024,FLORENCIO VARELA,Florencio Varela: cerró una histórica fábrica y 76 trabajadores quedaron en la calle - El Diario Varelense,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNTV91em5FTW9VX0k5TlVPRGJnRFhMSmZQU2hxMDcyZk5ZYm9BLVg1TVhwRFhCRlZYRWhxYTB4QU1wZnNONFczZER2ckF5ZjV1dVNaV3Q1UzdPeVgxNGdMYVJudE04NW54TEk1VVM5NXlDTTV4V05HUU1ReDRjRklhOVpZSm9vUXpzTm1ubTRtWnl2MkhGSVpIYU9WTFZHTVpsYWxWNUduSU5IWG1GdGlTYUhDbklrLXNh?oc=5,Google News,,,,
11/08/2024,PILAR,"A puro rock, festival contra los despidos en Pilar - La Izquierda Diario",https://news.google.com/rss/articles/CBMiiwFBVV95cUxQR0JmbEJxNEFFTFdnaWxueVAtdm84UEF5WVFiT01LQVdGX2k1SFc3NnllYld3UjVacWF5aktUZUxfa2J2X0s3VzNJcTJ6ejZVdXRObEllQ3B3dFNWdDhKeFNrQzFyUnBvUWh6X2Iwb1NhYzBfYkQ5ZGVyVkhDdHdoTV9mR19XTFRNOXNZ0gGTAUFVX3lxTE9FMmhmcXdVNmJPWVkxX1BydGEwUHJodU5DaWlyVnNJd1hRVlVTbEhINGc3R1ZnX3Rfa1dKeUdSTk9xTjhYYVhTeDV1WVlGY1IxZ3NXX083RmZVeUpncWd3N21NZWg2dndDS1hYWlpyblhNRXpPRXB0NTBldUc3eFo4bFViNmRURzM0dmtSbGlJOE9fOA?oc=5,Google News,,,,
28/04/2024,SAN MARTIN,San Martín. TSU deja a más de 300 familias en la calle - laizquierdadiario.mx,https://news.google.com/rss/articles/CBMigAFBVV95cUxPaUZRR0RWTjN3cVdiR1NzU2xsZjZteVkwN09IVjEzY3dPcFNxSEFkOFd6UXdLZDNwbTVLaWZIcHR6TGpiSWlGTFpCbktBOGR4WUxGY2hjdC1vNnJpc3I2R1N1NmdmYTkxNmhHVkI2U1ZIR05LMmI4Z2FOc0kzWll5Tw?oc=5,Google News,,,,
03/04/2024,MORENO,GBA. Despidos en oficinas de Anses en Moreno: Llaman a abrazo solidario - laizquierdadiario.com.ve,https://news.google.com/rss/articles/CBMipAFBVV95cUxQcGFldHJNcVpNZUxyNHJiWEtERk1NSW5IQkpuX0V4V3lXcmQ2bXhtRkVVemd5UFVFeWppTnNoQ3NOZ29MbzVxbmRXODFuQVVTbEJTbXoyY3JfQkgwTTBnVGxwNVVQU0swdDVwVEZWcE5Qa1ZtWFM4Q19ucFpXcU5KRnV2VGJqNDYxQXo1S21mcW9mZlk3a1daWWNTOW5tVFRaWjlhcw?oc=5,Google News,,,,